JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458822.52642,5.003,0.022,,B,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458822.53178,3.738,0.014,,V,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458822.53537,2.997,0.015,,R,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458822.54149,2.243,0.019,,I,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458824.61981,3.012,0.017,,R,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458824.62527,2.235,0.024,,I,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458824.63406,4.987,0.025,,B,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458824.63725,3.731,0.017,,V,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458825.2936,4.951,0.018,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.34,Z,5.42,3.449,,ZET AUR,AAVSO,STD,,,,
2458825.2936,3.770,0.011,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.34,Z,4.25,3.158,,ZET AUR,AAVSO,STD,,,,
2458825.6535,4.983,0.015,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.57,Z,5.42,3.482,,ZET AUR,AAVSO,STD,,,,
2458825.6535,3.757,0.014,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.57,Z,4.25,3.126,,ZET AUR,AAVSO,STD,,,,
2458825.6560,4.965,0.015,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.59,Z,5.42,3.477,,ZET AUR,AAVSO,STD,,,,
2458825.6560,3.751,0.014,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.59,Z,4.25,3.133,,ZET AUR,AAVSO,STD,,,,
2458827.23996,5.028,0.044,,TB,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,5.48,2.994,2458827.2453616,zet Aur,BAV,STD,1,,,
2458827.23996,3.754,0.025,,TG,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,4.255,3.172,2458827.2453616,zet Aur,BAV,STD,1,,,
2458827.23996,2.734,0.023,,TR,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,3.310,3.230,2458827.2453616,zet Aur,BAV,STD,1,,,
2458827.36840,3.7,,,Vis.,REE,B,3.2,4.3,x24147cm,,,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458828.57840,4.974,0.013,,B,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458828.58245,3.760,0.016,,V,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458828.58638,2.999,0.009,,R,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458828.59187,2.239,0.010,,I,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
