teff	logg	MH	alpha	vmic
4600	3	-0.5	0	1.25
4600	3	-1	0.4	1.24
4600	3	-1.5	0.4	1.22
4600	3	-2	0.4	1.22
4600	3.5	1	0	1.09
4600	3.5	0.5	0	1.06
4600	3.5	0	0	1.03
4600	3.5	-0.5	0	1.01
4600	3.5	-1	0.4	0.99
4600	3.5	-1.5	0.4	0.98
4600	3.5	-2	0.4	0.97
4600	4	1	0	1.02
4600	4	0.5	0	0.99
4600	4	0	0	0.96
4600	4	-0.5	0	0.94
4600	4	-1	0.4	0.92
4600	4	-1.5	0.4	0.91
4600	4	-2	0.4	0.9
4600	4.5	1	0	0.95
4600	4.5	0.5	0	0.92
4600	4.5	0	0	0.89
4600	4.5	-0.5	0	0.87
4600	4.5	-1	0.4	0.85
4600	4.5	-1.5	0.4	0.84
4600	4.5	-2	0.4	0.83
4600	5	1	0	0.88
4600	5	0.5	0	0.84
4600	5	0	0	0.82
4600	5	-0.5	0	0.79
4600	5	-1	0.4	0.78
4600	5	-1.5	0.4	0.76
4600	5	-2	0.4	0.76
4700	1	1	0	1.56
4700	1	0.5	0	1.53
4700	1	0	0	1.5
4700	1	-0.5	0	1.48
4700	1	-1	0.4	1.46
4700	1	-1.5	0.4	1.45
4700	1	-2	0.4	1.44
4700	1.5	1	0	1.51
4700	1.5	0.5	0	1.47
4700	1.5	0	0	1.45
4700	1.5	-0.5	0	1.42
4700	1.5	-1	0.4	1.41
4700	1.5	-1.5	0.4	1.39
4700	1.5	-2	0.4	1.39
4700	2	1	0	1.45
4700	2	0.5	0	1.42
4700	2	0	0	1.39
4700	2	-0.5	0	1.37
4700	2	-1	0.4	1.35
4700	2	-1.5	0.4	1.34
4700	2	-2	0.4	1.33
4700	2.5	1	0	1.39
4700	2.5	0.5	0	1.35
4700	2.5	0	0	1.33
4700	2.5	-0.5	0	1.3
4700	2.5	-1	0.4	1.29
4700	2.5	-1.5	0.4	1.27
4700	2.5	-2	0.4	1.27
4700	3	1	0	1.32
4700	3	0.5	0	1.29
4700	3	0	0	1.26
4700	3	-0.5	0	1.24
4700	3	-1	0.4	1.22
4700	3	-1.5	0.4	1.21
4700	3	-2	0.4	1.2
4700	3.5	1	0	1.09
4700	3.5	0.5	0	1.06
4700	3.5	0	0	1.03
4700	3.5	-0.5	0	1.01
4700	3.5	-1	0.4	0.99
4700	3.5	-1.5	0.4	0.98
4700	3.5	-2	0.4	0.97
4700	4	1	0	1.02
4700	4	0.5	0	0.99
4700	4	0	0	0.96
4700	4	-0.5	0	0.94
4700	4	-1	0.4	0.92
4700	4	-1.5	0.4	0.91
4700	4	-2	0.4	0.9
4700	4.5	1	0	0.95
4700	4.5	0.5	0	0.92
4700	4.5	0	0	0.89
4700	4.5	-0.5	0	0.87
4700	4.5	-1	0.4	0.85
4700	4.5	-1.5	0.4	0.84
4700	4.5	-2	0.4	0.83
4700	5	1	0	0.88
4700	5	0.5	0	0.84
4700	5	0	0	0.82
4700	5	-0.5	0	0.79
4700	5	-1	0.4	0.78
4700	5	-1.5	0.4	0.76
4700	5	-2	0.4	0.76
4800	1	1	0	1.56
4800	1	0.5	0	1.52
4800	1	0	0	1.5
4800	1	-0.5	0	1.47
4800	1	-1	0.4	1.46
4800	1	-1.5	0.4	1.44
4800	1	-2	0.4	1.44
4800	1.5	1	0	1.5
4800	1.5	0.5	0	1.47
4800	1.5	0	0	1.44
4800	1.5	-0.5	0	1.42
4800	1.5	-1	0.4	1.4
4800	1.5	-1.5	0.4	1.39
4800	1.5	-2	0.4	1.38
4800	2	1	0	1.44
4800	2	0.5	0	1.41
4800	2	0	0	1.38
4800	2	-0.5	0	1.36
4800	2	-1	0.4	1.34
4800	2	-1.5	0.4	1.33
4800	2	-2	0.4	1.32
4800	2.5	1	0	1.38
4800	2.5	0.5	0	1.35
4800	2.5	0	0	1.32
4800	2.5	-0.5	0	1.3
4800	2.5	-1	0.4	1.28
4800	2.5	-1.5	0.4	1.27
4800	2.5	-2	0.4	1.26
4800	3	1	0	1.32
4800	3	0.5	0	1.28
4800	3	0	0	1.26
4800	3	-0.5	0	1.23
4800	3	-1	0.4	1.22
4800	3	-1.5	0.4	1.2
4800	3	-2	0.4	1.2
4800	3.5	1	0	1.09
4800	3.5	0.5	0	1.06
4800	3.5	0	0	1.03
4800	3.5	-0.5	0	1.01
4800	3.5	-1	0.4	0.99
